cardId;pokemonID;name;rarity;releaseDate;availableQuantity;pokemonType;description;image;hp;attack;defense;speed;weight;height;is_legendary;is_mythical;n_location_area;n_encounters;averageMaxChance;pokemonRarity;gym
c-1-0;1;bulbasaur;common;Sat Apr 20 2024 19:58:14 GMT+0200 (hora de verano de Europa central);100;grass;Una rara semilla le fue plantada en el lomo al nacer. La planta brota y crece con este Pokémon.@NEWDESCRIPTION@Después de nacer, crece alimentándose de las semillas de su lomo.@NEWDESCRIPTION@A Bulbasaur es fácil verle echándose una siesta al sol. La semilla que tiene en el lomo va creciendo cada vez más a medida que absorbe los rayos del sol.@NEWDESCRIPTION@A Bulbasaur es fácil verle echándose una siesta al sol. La semilla que tiene en el lomo va creciendo cada vez más a medida que absorbe los rayos del sol.@NEWDESCRIPTION@Puede sobrevivir largo tiempo sin probar bocado gracias a los nutrientes que guarda en el bulbo del lomo.@NEWDESCRIPTION@Puede sobrevivir largo tiempo sin probar bocado gracias a los nutrientes que guarda en el bulbo del lomo.@NEWDESCRIPTION@Este Pokémon nace con una semilla en el lomo, que brota con el paso del tiempo.@NEWDESCRIPTION@Desde que nace, crece alimentándose de los nutrientes que contiene la semilla de su lomo.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/1.svg;45;49;49;45;69;7;false;false;4;11;100;common;none
c-2-1;2;ivysaur;rare;Sat Apr 20 2024 19:58:15 GMT+0200 (hora de verano de Europa central);100;grass;Este Pokémon tiene un bulbo en el lomo. Dicen que, al absorber nutrientes, el bulbo se transforma en una flor grande.@NEWDESCRIPTION@Cuando el bulbo de su lomo se hincha, desprende un dulce aroma para indicar el florecimiento.@NEWDESCRIPTION@Este Pokémon lleva un bulbo en el lomo y, para poder con su peso, tiene unas patas y un tronco gruesos y fuertes. Si empieza a pasar más tiempo al sol, será porque el bulbo está a punto de hacerse una flor grande.@NEWDESCRIPTION@Este Pokémon lleva un bulbo en el lomo y, para poder con su peso, tiene unas patas y un tronco gruesos y fuertes. Si empieza a pasar más tiempo al sol, será porque el bulbo está a punto de hacerse una flor grande.@NEWDESCRIPTION@Su bulbo crece a medida que absorbe nutrientes. Desprende un cierto aroma cuando está a punto de florecer.@NEWDESCRIPTION@Su bulbo crece a medida que absorbe nutrientes. Desprende un cierto aroma cuando está a punto de florecer.@NEWDESCRIPTION@Cuando le crece bastante el bulbo del lomo, pierde la capacidad de erguirse sobre las patas traseras.@NEWDESCRIPTION@La luz del sol lo fortalece y hace que le crezca el capullo que tiene en el lomo.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/2.svg;60;62;63;60;130;10;false;false;0;0;0;ultrarare;none
c-3-2;3;venusaur;rare;Sat Apr 20 2024 19:58:17 GMT+0200 (hora de verano de Europa central);100;grass;Llena su cuerpo de energía con los rayos solares que captan los anchos pétalos de su flor.@NEWDESCRIPTION@Después de un día de lluvia, la flor de su lomo tiene un aroma más potente y atrae a otros Pokémon.@NEWDESCRIPTION@Venusaur tiene una flor enorme en el lomo que, según parece, adquiere unos colores muy vivos si está bien nutrido y le da mucho el sol. El aroma delicado de la flor tiene un efecto relajante en el ánimo de las personas.@NEWDESCRIPTION@Venusaur tiene una flor enorme en el lomo que, según parece, adquiere unos colores muy vivos si está bien nutrido y le da mucho el sol. El aroma delicado de la flor tiene un efecto relajante en el ánimo de las personas.@NEWDESCRIPTION@La flor que tiene en el lomo puede recoger los rayos solares para transformarlos en energía.@NEWDESCRIPTION@La flor que tiene en el lomo puede recoger los rayos solares para transformarlos en energía.@NEWDESCRIPTION@La planta florece cuando absorbe energía solar, lo cual le obliga a buscar siempre la luz del sol.@NEWDESCRIPTION@La flor que tiene en el lomo libera un delicado aroma, que tiene un efecto relajante en combate.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/3.svg;80;82;83;80;1000;20;false;false;0;0;0;ultrarare;none
c-4-3;4;charmander;legendary;Sat Apr 20 2024 19:58:17 GMT+0200 (hora de verano de Europa central);100;fire;La llama de su cola indica la fuerza vital de Charmander. Será brillante si está sano.@NEWDESCRIPTION@Este Pokémon nace con una llama en la punta de la cola. Si la llama se apagara, el Pokémon se debilitaría.@NEWDESCRIPTION@La llama que tiene en la punta de la cola arde según sus sentimientos. Llamea levemente cuando está alegre y arde vigorosamente cuando está enfadado.@NEWDESCRIPTION@La llama que tiene en la punta de la cola arde según sus sentimientos. Llamea levemente cuando está alegre y arde vigorosamente cuando está enfadado.@NEWDESCRIPTION@En lugares silenciosos se puede oír el débil chisporroteo de la llama que le arde en la punta de la cola.@NEWDESCRIPTION@En lugares silenciosos se puede oír el débil chisporroteo de la llama que le arde en la punta de la cola.@NEWDESCRIPTION@Prefiere las cosas calientes. Dicen que cuando llueve le sale vapor de la punta de la cola.@NEWDESCRIPTION@Este Pokémon nace con una llama en la punta de la cola. Si se le apagara, fallecería.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/4.svg;39;52;43;65;85;6;false;false;4;11;100;common;none
c-5-4;5;charmeleon;common;Sat Apr 20 2024 19:58:18 GMT+0200 (hora de verano de Europa central);100;fire;Suele usar la cola para derribar a su rival. Cuando lo tira, se vale de sus afiladas garras para acabar con él.@NEWDESCRIPTION@Cuando balancea la ardiente cola, eleva la temperatura a niveles muy altos.@NEWDESCRIPTION@Charmeleon no tiene reparo en acabar con su rival usando las afiladas garras que tiene. Si su enemigo es fuerte, se vuelve agresivo, y la llama que tiene en el extremo de la cola empieza a arder con mayor intensidad tornándose azulada.@NEWDESCRIPTION@Charmeleon no tiene reparo en acabar con su rival usando las afiladas garras que tiene. Si su enemigo es fuerte, se vuelve agresivo, y la llama que tiene en el extremo de la cola empieza a arder con mayor intensidad tornándose azulada.@NEWDESCRIPTION@Librar combates intensos lo entusiasma tanto que en ocasiones lanza llamas de tono blanco azulado.@NEWDESCRIPTION@Librar combates intensos lo entusiasma tanto que en ocasiones lanza llamas de tono blanco azulado.@NEWDESCRIPTION@Este Pokémon de naturaleza agresiva ataca en combate con su cola llameante y hace trizas al rival con sus afiladas garras.@NEWDESCRIPTION@Si se exalta en combate, expulsa intensas llamaradas que incineran todo a su alrededor.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/5.svg;58;64;58;80;190;11;false;false;0;0;0;ultrarare;none
c-6-5;6;charizard;common;Sat Apr 20 2024 19:58:19 GMT+0200 (hora de verano de Europa central);100;fire;Cuando lanza una descarga de fuego supercaliente, la roja llama de su cola brilla más intensamente.@NEWDESCRIPTION@Con las alas que tiene puede alcanzar una altura de casi 1400 m. Suele escupir fuego por la boca.@NEWDESCRIPTION@Charizard se dedica a volar por los cielos en busca de oponentes fuertes. Echa fuego por la boca y es capaz de derretir cualquier cosa. No obstante, si su rival es más débil que él, no usará este ataque.@NEWDESCRIPTION@Charizard se dedica a volar por los cielos en busca de oponentes fuertes. Echa fuego por la boca y es capaz de derretir cualquier cosa. No obstante, si su rival es más débil que él, no usará este ataque.@NEWDESCRIPTION@Cuando exhala fuego abrasador, la llama de la punta de la cola se aviva y adquiere un intenso color rojo.@NEWDESCRIPTION@Cuando exhala fuego abrasador, la llama de la punta de la cola se aviva y adquiere un intenso color rojo.@NEWDESCRIPTION@Escupe un fuego tan caliente que funde las rocas. Causa incendios forestales sin querer.@NEWDESCRIPTION@Sus potentes alas le permiten volar a una altura de 1400 m. Escupe llamaradas que llegan a alcanzar temperaturas elevadísimas.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/6.svg;78;84;78;100;905;17;false;false;0;0;0;ultrarare;none
c-7-6;7;squirtle;ultrarare;Sat Apr 20 2024 19:58:20 GMT+0200 (hora de verano de Europa central);100;water;Se protege con su caparazón y luego contraataca lanzando agua a presión cuando tiene oportunidad.@NEWDESCRIPTION@Lanza agua a su presa desde el agua. Se esconde en su concha cuando se siente en peligro.@NEWDESCRIPTION@El caparazón de Squirtle no le sirve de protección únicamente. Su forma redondeada y las hendiduras que tiene le ayudan a deslizarse en el agua y le permiten nadar a gran velocidad.@NEWDESCRIPTION@El caparazón de Squirtle no le sirve de protección únicamente. Su forma redondeada y las hendiduras que tiene le ayudan a deslizarse en el agua y le permiten nadar a gran velocidad.@NEWDESCRIPTION@Escupe chorros de agua mientras flota para capturar a sus presas. Se esconde en su caparazón cuando se siente en peligro.@NEWDESCRIPTION@Escupe chorros de agua mientras flota para capturar a sus presas. Se esconde en su caparazón cuando se siente en peligro.@NEWDESCRIPTION@Cuando retrae su largo cuello en el caparazón, dispara agua a una presión increíble.@NEWDESCRIPTION@Cuando se siente en peligro, se esconde en su caparazón y escupe chorros de agua por la boca.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/7.svg;44;48;65;43;90;5;false;false;4;11;100;common;none
c-8-7;8;wartortle;common;Sat Apr 20 2024 19:58:21 GMT+0200 (hora de verano de Europa central);100;water;Si es golpeado, esconderá su cabeza. Aun así, su cola puede seguir golpeando.@NEWDESCRIPTION@Se dice que vive 10 000 años. Su peluda cola es un símbolo de longevidad.@NEWDESCRIPTION@Tiene una cola larga y cubierta de un pelo abundante y grueso que se torna más oscuro a medida que crece. Los arañazos que tiene en el caparazón dan fe de lo buen guerrero que es.@NEWDESCRIPTION@Tiene una cola larga y cubierta de un pelo abundante y grueso que se torna más oscuro a medida que crece. Los arañazos que tiene en el caparazón dan fe de lo buen guerrero que es.@NEWDESCRIPTION@Si alguien le golpea la cabeza, se protege escondiéndose en su caparazón, aunque parte de la cola queda al descubierto.@NEWDESCRIPTION@Si alguien le golpea la cabeza, se protege escondiéndose en su caparazón, aunque parte de la cola queda al descubierto.@NEWDESCRIPTION@Se lo considera un símbolo de longevidad. Los ejemplares más ancianos tienen musgo sobre el caparazón.@NEWDESCRIPTION@Utiliza hábilmente sus peludas orejas y la cola para mantener el equilibrio al nadar.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/8.svg;59;63;80;58;225;10;false;false;0;0;0;ultrarare;none
c-9-8;9;blastoise;common;Sat Apr 20 2024 19:58:22 GMT+0200 (hora de verano de Europa central);100;water;Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.@NEWDESCRIPTION@Es un Pokémon imponente. Tiene reactores de agua en el caparazón, que le sirven para atacar con fuerza.@NEWDESCRIPTION@Blastoise lanza chorros de agua con gran precisión por los tubos que le salen del caparazón que tiene en la espalda. Puede disparar chorros de agua con tanta puntería que no fallaría al tirar contra una lata pequeña a 50 m.@NEWDESCRIPTION@Blastoise lanza chorros de agua con gran precisión por los tubos que le salen del caparazón que tiene en la espalda. Puede disparar chorros de agua con tanta puntería que no fallaría al tirar contra una lata pequeña a 50 m.@NEWDESCRIPTION@Tras fijar el blanco, ataca disparando un chorro de agua a una presión mayor que la manguera de un bombero.@NEWDESCRIPTION@Tras fijar el blanco, ataca disparando un chorro de agua a una presión mayor que la manguera de un bombero.@NEWDESCRIPTION@Para acabar con su enemigo, lo aplasta con el peso de su cuerpo. En momentos de apuro, se esconde en el caparazón.@NEWDESCRIPTION@Dispara chorros de agua a través de los cañones de su caparazón, capaces de agujerear incluso el acero.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/9.svg;79;83;100;78;855;16;false;false;0;0;0;ultrarare;none
c-10-9;10;caterpie;common;Sat Apr 20 2024 19:58:22 GMT+0200 (hora de verano de Europa central);100;bug;Para protegerse despide un hedor horrible de sus antenas, con el que repele a sus enemigos.@NEWDESCRIPTION@Sus patas tienen ventosas con las que se adhiere a cualquier sitio. Escala árboles buscando forraje.@NEWDESCRIPTION@Caterpie tiene un apetito voraz. Es capaz de devorar hojas que superen su tamaño en un abrir y cerrar de ojos. Atención a la antena que tiene: libera un hedor realmente fuerte.@NEWDESCRIPTION@Caterpie tiene un apetito voraz. Es capaz de devorar hojas que superen su tamaño en un abrir y cerrar de ojos. Atención a la antena que tiene: libera un hedor realmente fuerte.@NEWDESCRIPTION@A menudo resulta presa de Pokémon pájaro, frente a los que su única defensa es el hedor repulsivo que libera por su antena.@NEWDESCRIPTION@Se desarrolla rápidamente y es fácil de atrapar. Es el compañero ideal para Entrenadores menos experimentados.@NEWDESCRIPTION@Muestra un apetito voraz, debido quizás a sus ganas de acelerar su desarrollo. Puede llegar a devorar un centenar de hojas al día.@NEWDESCRIPTION@Su cuerpo es blando y carente de fuerza. Parece que la naturaleza lo hubiera destinado a servir de sustento a otros Pokémon.@NEWDESCRIPTION@Cuando le tocan la antena roja que tiene en la frente, se defiende desprendiendo un hedor nauseabundo.@NEWDESCRIPTION@Cuando le tocan la antena roja que tiene en la frente, se defiende desprendiendo un hedor nauseabundo.@NEWDESCRIPTION@Para protegerse, despide un hedor horrible por las antenas con el que repele a sus enemigos.@NEWDESCRIPTION@Sus cortas patas están recubiertas de ventosas que le permiten subir incansable por muros y cuestas.;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/10.svg;45;30;35;45;29;3;false;false;34;81;56.074074074074076;common;none
